"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"BALERO R3-ZZ 3/16X1/2 URB","FERRETERIA","PZ","",""
"BALERO R8-ZZ","FERRETERIA","PZ","50.0","2025-07-01"
"BANDA A-50","MANTENIMIENTO","PZ","",""
"BANDA FANDELI X-86 040 0.101m X 0.610m COD. 08507 (4 X 24)","LIJAS Y ABRASIVOS","PZ","30.45","2025-08-15"
"BANDA FANDELI X-86 060 0.101m X 0.610m COD. 05630 (4 X 24)","LIJAS Y ABRASIVOS","PZ","22.41","2025-11-05"
"BANDA FANDELI X-86 080 0.101m X 0.610m COD. 08509 (4 X 24)","LIJAS Y ABRASIVOS","PZ","24.14","2026-01-27"
"BANDA FANDELI X-86 100 0.101m X 0.610m COD. 00191 (4 X 24)","LIJAS Y ABRASIVOS","PZ","20.81","2024-12-12"
"BANDA FANDELI X-86 120 0.101m X 0.610m COD. 03542 (4 X 24)","LIJAS Y ABRASIVOS","PZ","17.24","2025-11-03"
"BANDA INDUSTRIAL HI-POER A-23","MANTENIMIENTO","PZ","",""
"BANDA INDUSTRIAL HI-POER A-25","MANTENIMIENTO","PZ","",""
"BANDA INDUSTRIAL HI-POER A-40","MANTENIMIENTO","PZ","",""
"BANDA INDUSTRIAL HI-POER A-41","MANTENIMIENTO","PZ","",""
"BANDA INDUSTRIAL HI-POER A-42","MANTENIMIENTO","PZ","",""
"BANDA INDUSTRIAL HI-POER A-50","MANTENIMIENTO","PZ","",""
"BANDA INDUSTRIAL HI-POER A-59","MANTENIMIENTO","PZ","",""
"BANDA LIJA 152.4MM X 1219.2MM (6""X48"")","LIJAS Y ABRASIVOS","PZ","",""
"BANDA LIJA 2909 914MM X 2146MM G-80","LIJAS Y ABRASIVOS","PZ","1051.5","2025-09-08"
"BANDA LIJA 2929 279MM X 4432MM G-40","LIJAS Y ABRASIVOS","PZ","",""
"BANDA LIJA 2929 914MM X 2146MM G-40","LIJAS Y ABRASIVOS","PZ","",""
"BANDA LIJA ZK713 X 914MM X 2146MM G-40","LIJAS Y ABRASIVOS","PZ","",""
"BANDA LIJA ZK713 X 914MM X 2146MM G-80","LIJAS Y ABRASIVOS","PZ","",""
"BANDA PARA SIERRA INGLETEADORA TELESCOPICA DEWALT DW717 NO. 641463-00","MANTENIMIENTO","PZ","",""
"BARNIZ POLYFORM 11000 BRILLANTE C/CATALIZADOR Y SOLVENTE","BARNIZ, ACEITE Y PINTURA","LT","602.44","2025-06-18"
"BARNIZ POLYFORM 11000 MATE C/CATALIZADOR Y SOLVENTE","BARNIZ, ACEITE Y PINTURA","LT","602.44","2025-06-18"
"BARNIZ POLYLITE 160-TMR TRANSPARENTE MATE CON SOLVENTE Y CATALIZADOR DIRECTO A METAL","BARNIZ, ACEITE Y PINTURA","LT","",""
"BARRA CUADRADA DE ALUMINIO 1/4"" SIN ACABADO 3.66 MT","METALICOS","TRAMO","137.93","2026-05-15"
"BARRA REDONDA ACERO INOXIDABLE T-304 1/2"" (6.10 MT *6KG)","METALICOS","TRAMO","",""
"BARRA REDONDA ACERO INOXIDABLE T-304 3/8"" (6.10 MT *2.100KG)","METALICOS","MT","53.47","2025-02-26"
