"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"CLAVIJA METALICA DE SEGURIDAD 1/2V 4P 20A ARROW HART","MANTENIMIENTO","PZ","311.47","2025-02-17"
"CLAVIJA USO RUDO 125V, 15A, 2P+T SANELEC","MANTENIMIENTO","PZ","",""
"CLAVILLO M-10 10mm 3/8"" CAL 18 TRUPER COD. 18260","TORNILLERIA","CAJA","46.55","2024-12-31"
"CLAVILLO M-15 15mm 5/8"" CAL 18 TRUPER COD 18261","TORNILLERIA","CAJA","65.52","2024-12-31"
"CLAVILLO M-15 15mm 5/8"" CAL 18 TRUPER COD. 18262","TORNILLERIA","CAJA","",""
"CLAVILLO M-20 20mm 3/4"" CAL. 18","TORNILLERIA","CAJA","",""
"CLAVILLO M-20 20mm 3/4"" CAL. 18 TRUPER COD. 18262","TORNILLERIA","CAJA","40.81","2025-05-09"
"CLAVILLO M-25 25mm 1"" CAL. 18","TORNILLERIA","CAJA","75.78","2025-07-30"
"CLAVILLO M-25 25mm 1"" CAL. 18 TRUPER COD. 18263","TORNILLERIA","CAJA","107.76","2025-04-15"
"CLAVILLO M-30 30mm 1-1/4"" CAL. 18","TORNILLERIA","CAJA","86.78","2025-07-30"
"CLAVILLO M-40 40mm 1-1/2"" CAL. 18","TORNILLERIA","CAJA","91.38","2025-11-03"
"CLAVILLO M-50 50mm 2"" CAL. 18","TORNILLERIA","CAJA","126.22","2025-07-25"
"CLAVILLO/ALFILERILLO CALIBRE 23 1"" 25 mm COD. 13407","TORNILLERIA","CAJA","",""
"CLAVILLO/ALFILERILLO CALIBRE 23 19/32"" 15 mm COD. 13374","TORNILLERIA","CAJA","",""
"CLAVILLO/ALFILERILLO CALIBRE 23 23/32"" 18 mm COD. 13403","TORNILLERIA","CAJA","",""
"CLAVO 2-1/2""","TORNILLERIA","KG","",""
"CLAVO PARA CONCRETO 2""","TORNILLERIA","KG","",""
"CLAVO PARA CONCRETO 2-1/2""","TORNILLERIA","KG","",""
"CLAVO SIN CABEZA 1""","TORNILLERIA","KG","",""
"CLAVO SIN CABEZA 1-1/2""","TORNILLERIA","KG","",""
"CLAVO SIN CABEZA 2""","TORNILLERIA","KG","",""
"CLIP Z DE 50X34mm PARA INSTALACION DE PANELES A PARED CYMISA","FERRETERIA","PZ","",""
"CLIPS Y TORNILLERIA MADERA TC-2 (GRAPA PARA DECK)","TORNILLERIA","PZ","",""
"CLORO","PRODUCTO DE LIMPIEZA","LT","14.92","2026-05-05"
"COLADOR DE ARENA 4X4MM","CONSTRUCCION","PZ","",""
"COLLET 1/4""","MANTENIMIENTO","PZ","",""
"COLOR PARA CEMENTO AMARILLO OXIDO 1 KG CEMIX","CONSTRUCCION","PZ","",""
"CONECTOR ACOPLADOR RAPIDO GONI 1/4"" 41009","MANTENIMIENTO","PZ","52.59","2026-02-27"
"CONECTOR COPLE RAPIDO MACHO GONI 1/4"" 41019","MANTENIMIENTO","PZ","",""
"CONECTOR NIPLE RAPIDO HEMBRA GONI 1/4"" 41008","MANTENIMIENTO","PZ","",""
"CONECTOR NIPLE RAPIDO MACHO GONI 1/4"" BLISTER 41007","FERRETERIA","PZ","18.53","2026-02-27"
"CONEXION ESPIGA PARA MANGUERA C/CUERDA MACHO","FERRETERIA","PZ","24.22","2026-03-20"
"CONTACTO DUPLEX 2P+T INTEMPERIE CON PLACA 15A ARROW HART","ELECTRICO E ILUMINACION","PZ","",""
"CONTACTO DUPLEX DE SOBREPONER 2P+T","ELECTRICO E ILUMINACION","PZ","21.29","2026-03-13"
"CONTACTO DUPLEX FALLA A TIERRA NEGRO ESTEVEZ SKU 150964 MOD. HC-E92329","MANTENIMIENTO","PZ","",""
"CONTACTOR 25 AMPAC3 1 NA BOBINA 110 VOL","MANTENIMIENTO","PZ","",""
"CONTACTOR TRIFASICO 18A BOBINAS 220V CJX2-18","MANTENIMIENTO","PZ","203.51","2025-01-13"
"CORREDERA 8080 KV P 20"" 50 CM CODIGO: 8080-50 ALIS","FERRETERIA","JG","",""
"CORREDERA BLUMOTION (GUIA MOVENTO) S LN550 70 KG C/ACOPLAMIENTO TIP-O T51.7601 DER/T51.7601 IZQ","FERRETERIA","PZ","1010.98","2025-01-29"
"CORREDERA C/BALERO V-PACK 300mm 494.02.661 PASA A LA 494.02.911","FERRETERIA","JG","",""
"CORREDERA C/BALERO V-PACK 350mm 494.02.662 PASA A LA 494.02.912","FERRETERIA","JG","",""
"CORREDERA C/BALERO V-PACK 450mm 494.02.664 PASA A LA 494.02.914","FERRETERIA","JG","",""
"CORREDERA C/BALERO V-PACK 500mm 494.02.665","FERRETERIA","JG","77.5","2026-01-21"
"CORREDERA CIERRE SUAVE MONTAJE INF 35CM 421.38.735 PASA A 433.10.435","FERRETERIA","JG","311.22","2025-02-26"
"CORREDERA CIERRE SUAVE MONTAJE INF 40CM 421.38.740 PASA A 433.10.440","FERRETERIA","JG","337.81","2026-02-12"
"CORREDERA CIERRE SUAVE MONTAJE INF 50CM 421.38.750 PASA A 433.10.450","FERRETERIA","JG","258.7","2025-07-14"
"CORREDERA CIERRE SUAVE MONTAJE INF 55CM 421.38.755 PASA A 433.10.455","FERRETERIA","JG","393.79","2025-02-26"
"CORREDERA CIERRE SUAVE/PUSH MONTAJE INFERIOR 40CM 433.03.783","FERRETERIA","JG","430.59","2025-11-25"
"CORREDERA DE BALINES EXTENSION TOTAL TELESCOPICA 45 KG FR 5001.300 ARTI. 400920 CIERRE SUAVE","FERRETERIA","JG","214.66","2026-03-31"
"CORREDERA DE BALINES EXTENSION TOTAL TELESCOPICA 60 KG FR 5047.400 ARTI. 75808","FERRETERIA","JG","243.68","2026-03-31"
"CORREDERA DE BALINES EXTENSION TOTAL TELESCOPICA 60 KG FR 5047.700 ARTI. 75410","FERRETERIA","JG","521.46","2025-02-13"
"CORREDERA DE EXTENSION COMPLETA 50CM LOBUS ECO LBE135402","FERRETERIA","JG","45.49","2026-01-15"
"CORREDERA DE EXTENSION TOTAL 250MM CERRAJES 0303-081","FERRETERIA","JG","31.9","2025-07-21"
"CORREDERA EXT 10"" NIQUEL S/T","FERRETERIA","JG","",""
"CORREDERA EXT DELGADA 36X500MM ZINC 420.50.651","FERRETERIA","JG","",""
"CORREDERA NEGRA CIERRE SUAVE JAKO 25 CM","FERRETERIA","JG","",""
"CORREDERA OCULTA CIERRE SUAVE 400MM DUCASE 64010036040","FERRETERIA","JG","",""
"CORREDERA TANDEM PLUS BLUMOTION 300MM (560H3000B) C/ACOPLAMIENTO IZQ+DER (T51.1700.04)","FERRETERIA","JG","581.35","2026-03-06"
"CORREDERA TANDEM PLUS BLUMOTION 400MM (560H4000B) C/ACOPLAMIENTO IZQ+DER (T51.1700.04)","FERRETERIA","JG","540.18","2025-03-31"
"CORREDERA TANDEM PLUS BLUMOTION 450MM (560H4500B) C/ACOPLAMIENTO IZQ+DER (T51.1700.04)","FERRETERIA","JG","547.45","2025-09-19"
"CORREDERA TANDEM PLUS BLUMOTION 500MM (560H5000B) C/ACOPLAMIENTO IZQ+DER (T51.1700.04)","FERRETERIA","JG","557.9","2025-08-15"
"CORREDERA TANDEM PLUS BLUMOTION 550MM (560H5500B) C/ACOPLAMIENTO IZQ+DER (T51.1700.04)","FERRETERIA","JG","577.56","2025-03-31"
"CORREDERA V-PACK CIERRE SUAVE 300mm 494.02.641 PASA A 494.02.901","FERRETERIA","JG","148.65","2025-06-02"
"CORREDERA V-PACK CIERRE SUAVE 350mm 494.02.642","FERRETERIA","JG","181.97","2025-07-25"
"CORREDERA V-PACK CIERRE SUAVE 400mm 494.02.903","FERRETERIA","JG","195.36","2025-12-17"
"CORREDERA V-PACK CIERRE SUAVE 450mm 494.02.644 PASA A 494.02.904","FERRETERIA","JG","170.3","2026-02-23"
"CORREDERA V-PACK CIERRE SUAVE 500mm 494.02.645 PASA A 494.02.905","FERRETERIA","JG","180.7","2026-02-23"
"CORREDERA V-PACK CIERRE SUAVE 550mm 494.02.646 PASA A 494.02.906","FERRETERIA","JG","",""
"CORREDERA V-PACK PUSH 350MM 494.02.622","FERRETERIA","JG","",""
"CORREDERA V-PACK PUSH 400MM 494.02.623","FERRETERIA","JG","",""
"CORREDERA V-PACK PUSH 450MM 494.02.624","FERRETERIA","JG","",""
"CORREDERA V-PACK PUSH 500MM 494.02.625 PASA A 494.02.895","FERRETERIA","JG","",""
"CORTA VIDRIO SURTEK (101F)","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"CORTE Y DIMENSIONADO DE TABLEROS CON CUBRECANTO","SERVICIOS","SERV","252.66","2025-06-25"
"CRISTAL ANTIRREFLEJANTE 2mm (TECNOCRISTALES)","CRISTAL","LOTE","297.16","2026-05-06"
"CRISTAL CLARO 10MM TEMPLADO","CRISTAL","LOTE","3476.87","2025-04-22"
"CRISTAL CLARO 2mm (TECNOCRISTALES)","CRISTAL","LOTE","214.55","2025-05-15"
"CRISTAL CLARO 3mm (TECNOCRISTALES)","CRISTAL","LOTE","592.68","2025-12-23"
"CRISTAL CLARO 4mm (REFSAN)","CRISTAL","LOTE","853.47","2025-10-01"
"CRISTAL CLARO 6MM INSULADO DUOVENT 6+6+6 TEMPLADO","CRISTAL","LOTE","5099.9","2026-05-15"
"CRISTAL CLARO 6mm (CRISTALERIA MEXICO)","CRISTAL","LOTE","",""
"CRISTAL CLARO 6mm (TECNOCRISTALES)","CRISTAL","LOTE","",""
"CRISTAL CLARO 9mm (TECNOCRISTALES)","CRISTAL","LOTE","68.73","2026-05-06"
"CRISTAL TEMPLADO (INSULADO) DUO 6+12+6 CLARO","CRISTAL","LOTE","257975.15","2025-08-26"
"CRISTAL TEMPLADO (INSULADO) DUO 6+6+6 SATINOVO+CLARO 6MM (CRISTALERIA MEXICO)","CRISTAL","LOTE","31738.75","2026-02-20"
"CRISTAL TEMPLADO CLARO DE 10mm (CRISTALERIA MEXICO)","CRISTAL","LOTE","5042.61","2025-07-04"
"CRISTAL TEMPLADO CLARO DE 6mm (CRISTALERIA MEXICO)","CRISTAL","LOTE","1556.85","2025-08-15"
"CUADRADO 1-1/2"" C.18","METALICOS","TRAMO","",""
"CUBIERTA DE GRANITO SPEEL GREI LEATHER CON ACABADO PULIDO","CONSTRUCCION","PZ","6520.0","2026-03-20"
"CUBIERTA P/COCINA MYSTIQUE DAWN 3.60 4762-07","MDF, TRIPLAY, ECOTAB","PZ","",""
"CUBIERTA P/COCINA PEARLWHITE 2.40 7907-01 GERTER","MDF, TRIPLAY, ECOTAB","PZ","3264.42","2025-08-08"
"CUBRE CANTO MADERA TZALAM 19MM C/PEGAMENTO","MADERA","MT","6.9","2026-03-10"
"CUCHILLA PARA CANTEADOR/CEPILLO HSS 350X25X3 18% SACSA 123841","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"CUCHILLA PARA CANTEADOR/CEPILLO HSS 510X25X3 18% AITERTOOLS SACSA 121951","SIERRAS, CUCHILLAS Y BROCAS","PZ","1242.39","2025-08-27"
"CUCHILLA PARA CANTEADOR/CEPILLO HSS 610X26X3 18% SACSA","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"CUCHILLA PARA CEPILLO #4 Y #5 1-12-313","SIERRAS, CUCHILLAS Y BROCAS","PAR","126.72","2025-05-12"
"CUCHILLA PARA CEPILLO ELECTRICO DEWALT 663291.00","SIERRAS, CUCHILLAS Y BROCAS","JG","422.41","2025-01-02"
"CUCHILLA PARA ENGALLETADORA DEWALT 4"" 6 DIENTES","REPUESTOS HERRAMIENTAS","PZ","",""
"CUCHILLA PARA ENSAMBLADORA (ENGALLETADORA) DEWALT DW6805 4"" (102MM), 6 DIENTES","SIERRAS, CUCHILLAS Y BROCAS","PZ","448.28","2025-01-02"
"CUTTER","FERRETERIA","PZ","",""
"CUÑA P/EMPLASTAR. CHICA FLEX. (ESPATULA)","FERRETERIA","PZ","",""
"CWF-UV 17.7 LT ACEITE (ACABADO MADERA BASE AGUA)","BARNIZ, ACEITE Y PINTURA","CUBETA","",""
"CWF-UV 4 LT","BARNIZ, ACEITE Y PINTURA","GALON","",""
"DADO PARA TALADRO DE IMPACTO 3/8","FERRETERIA","PZ","",""
"DECK CUMARU 1a 19MM X 8 CM (LARGOS VARIOS)","MADERA","PZ","",""
"DECK LOBUS CHOCOLATE/JADE UH02 0.022X0.14X2.90 0.406 MT CUADRADO","MADERA","PZ","550.85","2026-04-28"
"DECK LOBUS TEKA/IPE UH02 0.022X0.14X2.90 0.406 MT CUADRADO","MADERA","PZ","",""
"DESARMADOR PUNTA PLANA 4""","FERRETERIA","PZ","",""
"DETERGENTE ROMA","PRODUCTO DE LIMPIEZA","KG","35.0","2026-05-05"
"DISCO 14""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO ABRALON ESPONJA G.2000 5"" MIRKA","LIJAS Y ABRASIVOS","PZ","81.19","2026-02-16"
"DISCO AFILADOR DE DISCOS DE DIENTE DE CARBURO DE TUNGSTENO LOBUS LB-AF13-R","FERRETERIA","PZ","",""
"DISCO COPA DIAMANTADA DE 4-1/2″ DRAGON CUT 07282","FERRETERIA","PZ","",""
"DISCO CORTE DE DIAMANTE 5"" DOBLE SEGMENTO P/CONCRETO D-66715","FERRETERIA","PZ","",""
"DISCO CORTE DE DIAMANTE 5"" TURBO P/CONCRETO D-66721","FERRETERIA","PZ","",""
"DISCO DE AFILADO PARA BGR700 DC-BGR700-SD  5 X 1-1/4 X 3/8""","SIERRAS, CUCHILLAS Y BROCAS","PZ","759.34","2025-08-28"
"DISCO DE CORTE P/METAL Ø115X1,2X 22.2mm (4-1/2"" X 3/64"" X 7/8"") FANDELI bosch","FERRETERIA","PZ","",""
"DISCO DE CORTE P/METAL Ø115X1X 22.23mm 4-1/2"" BOSCH 2608619383","FERRETERIA","PZ","6.9","2026-02-17"
"DISCO DE DESBASTE AUSTROMEX P/METAL CLAVE 560 4-1/2"" X 1/4"" X 7/8""","FERRETERIA","PZ","",""
"DISCO DE DESBASTE BOSCH P/METAL NO. 2 608 600 379 Ø180 X 8.0 X 22.23mm (7"" X 5/16"" X 7/8"")","FERRETERIA","PZ","",""
"DISCO DESBASTE CINASA 4-1/2 8011","FERRETERIA","PZ","30.17","2025-10-31"
"DISCO DIAMANTE 4-1/2"" USO GRAL F35 AUS-1505","FERRETERIA","PZ","",""
"DISCO DIAMANTE DENTADO 4-1/2 (P/CONCRETO)","FERRETERIA","PZ","",""
"DISCO FANDELI 5"" 0.127mm 040 ROJO","LIJAS Y ABRASIVOS","PZ","11.29","2026-02-27"
"DISCO FANDELI 5"" 0.127mm 060 ROJO","LIJAS Y ABRASIVOS","PZ","10.42","2026-02-27"
"DISCO FANDELI 5"" 0.127mm 080","LIJAS Y ABRASIVOS","PZ","6.66","2026-05-07"
"DISCO FANDELI 5"" 0.127mm 100","LIJAS Y ABRASIVOS","PZ","6.51","2026-02-27"
"DISCO FANDELI 5"" 0.127mm 100 P/VIGAS","LIJAS Y ABRASIVOS","PZ","",""
"DISCO FANDELI 5"" 0.127mm 120","LIJAS Y ABRASIVOS","PZ","6.37","2026-02-27"
"DISCO FANDELI 5"" 0.127mm 120 P/VIGAS","LIJAS Y ABRASIVOS","PZ","",""
"DISCO FANDELI 5"" 0.127mm 1200","LIJAS Y ABRASIVOS","PZ","13.79","2026-02-24"
"DISCO FANDELI 5"" 0.127mm 150","LIJAS Y ABRASIVOS","PZ","6.37","2026-05-07"
"DISCO FANDELI 5"" 0.127mm 180","LIJAS Y ABRASIVOS","PZ","",""
"DISCO FANDELI 5"" 0.127mm 220","LIJAS Y ABRASIVOS","PZ","6.37","2026-05-07"
"DISCO FANDELI 5"" 0.127mm 240","LIJAS Y ABRASIVOS","PZ","5.23","2024-12-17"
"DISCO FANDELI 5"" 0.127mm 320","LIJAS Y ABRASIVOS","PZ","6.37","2026-05-25"
"DISCO FANDELI 5"" 0.127mm 400","LIJAS Y ABRASIVOS","PZ","5.89","2024-12-12"
"DISCO LAMINADO G.40","FERRETERIA","PZ","56.03","2024-12-12"
"DISCO LAMINADO G.60","LIJAS Y ABRASIVOS","PZ","",""
"DISCO LAMINADO G.80","LIJAS Y ABRASIVOS","PZ","68.97","2025-11-05"
"DISCO MIRKA P400 NET","LIJAS Y ABRASIVOS","PZ","13.79","2026-02-24"
"DISCO MIRKA P600 NET","LIJAS Y ABRASIVOS","PZ","13.79","2026-02-24"
"DISCO PARA CORTE MCA. DEWALT DWA03080 7-1/4"" (184MM), 24 DIENTES","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA CORTE MCA. DEWALT DWA03140 12"" (305MM), 60 DIENTES","SIERRAS, CUCHILLAS Y BROCAS","PZ","655.17","2025-07-31"
"DISCO PARA CORTE MCA. DEWALT DWA161224 6-1/2"" (165MM), 24 DIENTES","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA CORTE MCA. DEWALT DWA171460 7-1/4"" (184MM), 60 DIENTES","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA CORTE MCA. DIABLO D0724 7-1/4"" (184MM), 24 DIENTES","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA LIJADO Y PULIDO 7"" X 7/8"" ROJO TENAZIT (PARA METAL)","LIJAS Y ABRASIVOS","PZ","",""
"DISCO PARA PULIDORA 6"" No. 400","LIJAS Y ABRASIVOS","PZ","",""
"DISCO PARA PULIDORA 6"" No. 600","LIJAS Y ABRASIVOS","PZ","",""
"DISCO PARA SIERRA BOSCH 9-1/4"" X 25 X 40 DIENTES BOSCH 2608640886","SIERRAS, CUCHILLAS Y BROCAS","PZ","450.86","2025-01-02"
"DISCO PARA SIERRA HM 250X3.2X30 Z=48 ALTERNA AKE EUROLASER 9114.260.48.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA SIERRA HM 250X3.2X30 Z=60 ALTERNA AKE EUROLASER 9114.250.60.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA SIERRA HM 300X3.2X30 Z=48 ALTERNA AKE EUROLASER 9112.300.48.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA SIERRA HM 300X3.2X30 Z=60 ALTERNA AKE EUROLASER 9114.300.60.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA SIERRA HM 350X3.5X30 Z=32 ALTERNA AKE EUROLASER 9110.360.32.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA SIERRA HM 350X3.5X30 Z=32 ALTERNA CON CRESTA AKE EUROLASER 9110.350.32.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DISCO PARA SIERRA HM 350X3.5X30 Z=54 ALTERNA AKE EUROLASER 9114.350.54.30","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"DURETAN SELLADOR POLIURETANO PENSYLVANIA 300 ML","SILICON Y ACRILASTIC","PZ","131.03","2025-04-17"
"ECOTAB LISTONADO DE MACUIL 16X122X2.44 LA ASUNCION","MDF, TRIPLAY, ECOTAB","HOJA","2931.04","2025-03-13"
"ECOTAB LISTONADO DE MACUIL 18X122X2.44 LA ASUNCION","MDF, TRIPLAY, ECOTAB","HOJA","2758.56","2025-08-04"
"EMPAQUE MANGUERA (ARANDELA) NEGRO/TRANSPARENTE STD","FERRETERIA","PZ","1.72","2025-11-18"
"EMPAQUE ORRING NITRILO (220) (1-3/8X1/8)GIMEX","FERRETERIA","PZ","5.17","2025-11-14"
"EMPLAYE","FERRETERIA","ROLLO","150.86","2025-11-04"
"EMPLAYE TRANSPARENTE 18"", CAL. 80, 1200 PIES","PAPELERIA","ROLLO","212.51","2026-03-31"
"ESCALERA PLEGABLE TIJERA C/EXTENSION TIPO II C-2287-21 CUPRUM","FERRETERIA","PZ","3982.8","2025-04-17"
"ESCOBA","FERRETERIA","PZ","",""
"ESCOBA CEPILLO CERDAS SUAVES","FERRETERIA","PZ","60.0","2025-02-05"
"ESCOFINA 8"" TRUPER 15205","FERRETERIA","PZ","",""
"ESCUADRA PARA CARPINTERO TRUPER 8"" (20 CM) EC-8 COD. 14372","HERRAMIENTAS","PZ","75.24","2026-03-27"
"ESMALTE TOTAL 100 COMEX BLANCO","BARNIZ, ACEITE Y PINTURA","LT","",""
"ESPEJO/LUNA CLARO 3MM","CRISTAL","LOTE","973.66","2025-03-06"
"ESPEJO/LUNA CLARO 4MM","CRISTAL","LOTE","4420.33","2025-08-04"
"ESPEJO/LUNA CLARO 6MM","CRISTAL","LOTE","3556.82","2025-09-11"
"ESPONJA ABRASIVA DUO FLEX FANDELI 060 120mm X 98mm X 13mm","LIJAS Y ABRASIVOS","PZ","21.19","2025-11-03"
"ESPONJA ABRASIVA DUO FLEX FANDELI 100 120mm X 98mm X 13mm","LIJAS Y ABRASIVOS","PZ","",""
"ESPONJA ABRASIVA DUO FLEX FANDELI 150 120mm X 98mm X 13mm","LIJAS Y ABRASIVOS","PZ","21.19","2025-09-29"
"ESPONJA ABRASIVA DUO FLEX FANDELI 220 120mm X 98mm X 13mm","LIJAS Y ABRASIVOS","PZ","17.24","2026-01-27"
"ESPONJA ABRASIVA ULTRA FLEX FANDELI 400 140mm X 115mm X 5mm","LIJAS Y ABRASIVOS","PZ","",""
"ESPONJA ABRASIVA ULTRA FLEX FANDELI 600 140mm X 115mm X 5mm","LIJAS Y ABRASIVOS","PZ","40.37","2024-12-12"
"ESPONJA ABRASIVA ULTRA FLEX FANDELI 600P 13125","LIJAS Y ABRASIVOS","PZ","",""
"ESPONJA DE 2.5 CM DE GROSOR","FERRETERIA","PZ","240","2025-06-20"
"ESPUMA DE POLIURETANO SURTEK 300ML","PEGAMENTOS Y RESINAS","BOTE","",""
"ESPUMA DE POLIURETANO TOUCH FOAM MAX3XFILL 340 GR 75650/00033","PEGAMENTOS Y RESINAS","BOTE","",""
"ESPUMA MANUAL MONTAJE Y RELLENO POLIURETANO 300 ml SOUDAL SD121636","PEGAMENTOS Y RESINAS","PZ","42.11","2025-11-05"
"ESPUMA SELLADORA PENSILVANIA PENS FOAM 360 341 ML/340MG","PEGAMENTOS Y RESINAS","BOTE","97.41","2025-07-14"
"ESQUINERO DE CARTON 2""X2"" 1.40 MT","PAPELERIA","PZ","",""
"ESQUINERO DE CARTON 2""X2"" 2.00 MT","PAPELERIA","PZ","",""
"ESQUINERO DE CARTON 5 x 5 x 100 cm CODIGO: TST-006","PAPELERIA","PZ","7.67","2025-07-30"
"ESQUINERO DE CARTON 5 x 5 x 120 cm CODIGO: TST-009","PAPELERIA","PZ","7.05","2026-01-13"
"ESQUINERO DE CARTON 5 x 5 x 183 cm CODIGO: TST-012","PAPELERIA","PZ","18.27","2025-07-30"
"ESQUINERO DE CARTON KRAFT 1.20 MT 2X2"" CAL. 20","PAPELERIA","PZ","",""
"ESTOPA","FERRETERIA","KG","37.93","2026-02-27"
"ESTUCO BLANCO BEXEL 40 KG","CONSTRUCCION","BULTO","",""
"EUROLATON MECANISMO P/CERRADURA ACERO INOX REF361","FERRETERIA","PZ","",""
"EUROLATON MECANISMO P/CERRADURA BAÑO METALICO 988102","FERRETERIA","PZ","",""
"EXTENSION 70MM MAGNETICA TRUPER Código:   11869","REPUESTOS HERRAMIENTAS","PZ","18.97","2025-05-12"
"EXTENSIÓN/ADAPTADOR ANGULAR P/PUNTAS Y BROCAS ENTRADA 1/4"" DWARA120","REPUESTOS HERRAMIENTAS","PZ","",""
"EXTENSIÓN/ADAPTADOR FLEXIBLE P/PUNTAS DWARAFS-Z NEW","REPUESTOS HERRAMIENTAS","PZ","",""
"EXTINTOR ""RECARGA""","SERVICIOS","PZ","919.97","2026-01-21"
"EXTINTOR 6 KG","EQ SEGURIDAD","PZ","1250.0","2025-08-27"
"EXTINTOR 9 KG","EQ SEGURIDAD","PZ","1550.0","2025-08-27"
"FAJA ELASTICA PARA DAMA","EQ SEGURIDAD","PZ","164.93","2025-05-12"
"FIBRA VILEDA BLANCO 10X15X23CM","LIJAS Y ABRASIVOS","PZ","",""
"FIBRA VILEDA GUINDA 10X15X23CM","LIJAS Y ABRASIVOS","PZ","",""
"FIBRA VILEDA VERDE 10X15X23CM","LIJAS Y ABRASIVOS","PZ","",""
"FIJASET 2 BLANCO","SILICON Y ACRILASTIC","PZ","132.58","2025-05-16"
"FILTRO 3M PARA PARTICULAS N95 5N11","EQ SEGURIDAD","PZ","",""
"FILTRO CONO BLANCO (COLADOR PARA PINTURA DE PAPEL)","FERRETERIA","PZ","1.29","2026-02-27"
"FILTRO PARA ASPIRADORA CRAFTSMAN 25969048-9","REPUESTOS HERRAMIENTAS","PZ","",""
"FILTRO PARA ASPIRADORA KÄRCHER 6.904-33.0","FERRETERIA","PZ","351.03","2024-12-12"
"FILTROS 3M DE PARTICULAS PARA RESPIRADORES, VAPOR ORGANICO 2097","EQ SEGURIDAD","PAR","",""
"FIX ALL HIGH TACK WHITE 290 ML (ADHESIVO SELLADOR) SOUDAL SD120781","SILICON Y ACRILASTIC","PZ","68.04","2025-11-05"
"FLASH COAT NF MATE NEGRO E.1LT","BARNIZ, ACEITE Y PINTURA","LT","216.9","2025-11-06"
"FLASH COAT VIVID VERDE B4 E.4L","BARNIZ, ACEITE Y PINTURA","LT","",""
"FLEXOMETRO CADENA MOD. MGA 5525 5.5 MT","FERRETERIA","PZ","",""
"FLEXOMETRO HAFELE 5mt CON SACAPUNTAS 002.81.643","FERRETERIA","PZ","252.81","2026-02-27"
"FLEXOMETRO MAGNETICO 8MT MILWAUKEE","FERRETERIA","PZ","454.31","2025-01-23"
"FLEXOMETRO TRUPER CINTA NEGRA 8MT","FERRETERIA","PZ","",""
"FLOTA ESPONJA ANARANJADA","CONSTRUCCION","PZ","",""
"FOCO AHORRADOR","MANTENIMIENTO","PZ","",""
"FORMON 1""","FERRETERIA","PZ","80.97","2026-02-27"
"FORMON 1/2""","FERRETERIA","PZ","80.97","2026-02-27"
"FORMON 3/4""","FERRETERIA","PZ","80.97","2026-02-27"
"FRANELA","TELAS Y LONAS","MT","",""
"FRESA (LIMA) DE CARBURO DE TUGSTENO TENAZIT 12.7X25.4X6.4MM","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"FUNGICIDA BASE AGUA FG52.4","BARNIZ, ACEITE Y PINTURA","LT","",""
"FUNGICIDA PCP FG51.20","BARNIZ, ACEITE Y PINTURA","LT","",""
"GALLETAS DE MADERA #10 HAFELE 482.04.600","FERRETERIA","PZ","",""
"GALLETAS DE MADERA #20 HAFELE 482.04.601","FERRETERIA","PZ","0.82","2025-01-02"
"GANCHO COLGADOR PARA CUADROS TIPO CAIMAN 40MM","FERRETERIA","PZ","",""
"GAS BUTANO 275gr TRUPER","MANTENIMIENTO","PZ","",""
"GEO 503MS CAJA DE EMPOTRAR PARA 3 MODULOS","ELECTRICO E ILUMINACION","PZ","13.6","2026-01-19"
"GEO 504E CAJA DE EMPOTRAR PARA 4 MODULOS","ELECTRICO E ILUMINACION","PZ","47.37","2026-02-06"
"GEO 506L CAJA DE EMPOTRAR PARA 6 Y 7 MODULOS","ELECTRICO E ILUMINACION","PZ","67.93","2026-02-06"
"GEO K4001 INTERRUPTOR SENCILLO 1 MODULO 10AX, 127-250V","ELECTRICO E ILUMINACION","PZ","167.3","2026-01-19"
"GEO K4003 INTERRUPTOR 3 VIAS 1 MODULO 10AX, 127-250V","ELECTRICO E ILUMINACION","PZ","217.04","2026-03-18"
"GEO K4191AC CARGADOR LIVING NOW USB TIPO A+C","ELECTRICO E ILUMINACION","PZ","880.09","2026-02-06"
