id,code,name,category,stock,min,unit,cost,location,details,entryDate,species,lote,format,t,w,l,pt,quality
0ad1c30f2c490a863a72,07-035-00,Madera de Pino 3a ¾×4 X 8¼,madera,0,0,PZ,0,,,,,,,,,,,
138feaece84680de7e62,07-031-00,Madera de Pino 1a ¾×8 X 8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
14ad2a0c758effa1f03e,07-036-00,Madera de Pino 1a 1½×12×8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
1735700cc34da40d1d63,07-042-00,Madera de Pino 1a ¾×10×8¼ (TABLA),madera,0,0,PZ,0,,,,,,,,,,,
1bbed6737c04d86f0bbf,07-031-01,Madera de Pino 1a 1½×8 X 8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
1fb6ab948be3d28f8275,07-036-01,Madera de Pino 1a 1½×8 X 8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
2343c3311e788fe1b664,07-042-01,Madera de Pino 1a 1½×6 X 8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
2845f15ac7c0c923c8ee,07-031-02,Madera de Pino 1a 1½×4 X 8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
360971bd8d4bf75458de,07-042-02,Madera de Pino 3a 2×9 X 8 (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
39b3b27eb4edba0ca2aa,07-042-03,Madera de Pino 1a 1½×4 X 8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
3d54b4f7f4a1bae21676,07-035-01,Madera de Pino 2a ¾×4 X 8¼ (TABLA),madera,0,0,PZ,76.72,,,,,,,,,,,
41b11d9b58dfdbc4196a,07-033-00,Madera de Pino 1a 1½×8 X 8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
5d1982058ac825035b32,07-031-03,Madera de Pino 1a ¾×4 X 8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
5eaba018e3879c216672,07-031-04,Madera de Pino 1a ¾×10×8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
6378c8a0b7be88946b56,07-031-05,Madera de Pino 1a 1½×6 X 8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
64955c2edeb6be92d90c,07-031-06,Madera de Pino 1a ¾×4 X 6 100%,madera,0,0,PT,0,,,,,,,,,,,
68889a59341739734e1f,07-042-04,Madera de Pino 1a ¾×4 X 8¼ (TABLA),madera,0,0,PZ,0,,,,,,,,,,,
68ea06bfe32a5dcd0b54,07-042-05,Madera de Pino 3a 2×8 X 8 (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
693ae5cee7aced309ba8,07-033-01,Madera de Pino 1a 1×8 X 8¼ (TABLA),madera,0,0,PZ,0,,,,,,,,,,,
6d4cb6db7b9e4e27a3a7,07-036-02,Madera de Pino 1a 1½×4 X 8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
765e3fcea847ae454a76,07-033-02,Madera de Pino Impregnado (TRATADO) 2a,madera,0,0,PZ,452.4,,,,,,,,,,,
7a0edd609ccd06be1c1d,07-036-03,Madera de Pino 1a 1½×10×8¼ (TABLON),madera,0,0,PZ,0,,,,,,,,,,,
842b94cdbaa98567afc2,07-031-07,Madera de Pino 1a 1½×12×8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
86396e8d288fe51ee738,07-042-06,Madera de Pino 1a ¾×6 X 8¼ (TABLA),madera,0,0,PZ,0,,,,,,,,,,,
87f199a14cac3e62d3cc,07-031-08,Madera de Pino 1a 1½×10×8¼ 100%,madera,0,0,PT,0,,,,,,,,,,,
a646479ab053ecf41ba6,07-033-03,Madera de Pino 1a ¾×6 X 8¼ (TABLA),madera,0,0,PZ,109.39,,,,,,,,,,,
